iter	Accuracy	Logloss
0	0.5629730035	0.6916041999
1	0.5776572913	0.6900509886
2	0.5894047216	0.6886786643
3	0.5892917655	0.687215808
4	0.5947136564	0.6860101065
5	0.595956173	0.6847026696
6	0.5951654806	0.6837505769
7	0.5966339094	0.6826033627
8	0.6028464927	0.6814416118
9	0.6022817124	0.6804865152
10	0.6039760533	0.6794471129
11	0.6067999548	0.6785275211
12	0.60894612	0.6774818248
13	0.610979329	0.6765792426
14	0.610866373	0.6755797327
15	0.6099627245	0.6746665645
16	0.6092849881	0.6739395275
17	0.6099627245	0.6731825027
18	0.614706879	0.6723644787
19	0.6143680108	0.6716467075
20	0.6153846154	0.6707562345
21	0.6174178245	0.6701057962
22	0.6204676381	0.6691645044
23	0.6193380775	0.6682900146
24	0.6201287699	0.6675436384
25	0.6220490229	0.6666624211
26	0.6234044957	0.6658889856
27	0.6234044957	0.6651412875
28	0.6235174517	0.6644381111
29	0.6236304078	0.6637438013
30	0.6238563199	0.6630255828
31	0.6263413532	0.6622352392
32	0.6290522987	0.6615511472
33	0.6295041229	0.6607802393
34	0.6332316729	0.6602907554
35	0.6341353214	0.6595596597
36	0.6359426183	0.6589536992
37	0.6369592229	0.6581828443
38	0.6396701683	0.6575443062
39	0.639105388	0.656976437
40	0.6400090365	0.6564026136
41	0.6403479047	0.6556913832
42	0.6422681577	0.6552453773
43	0.6423811137	0.6545976684
44	0.6444143228	0.6541126087
45	0.6453179713	0.6537312168
46	0.6448661471	0.653075743
47	0.6476900486	0.6524564901
48	0.6485936971	0.6519594374
49	0.6485936971	0.6511985211
50	0.6506269061	0.6504653787
51	0.6508528183	0.6499464113
52	0.6524342031	0.6492064314
53	0.6539026319	0.6487027049
54	0.6539026319	0.6482137595
55	0.6565006213	0.6475998977
56	0.6557099288	0.647253373
57	0.6568394894	0.6468086241
58	0.6583079182	0.6463130961
59	0.6602281712	0.6456936072
60	0.6606799955	0.6451348213
61	0.661583644	0.644562919
62	0.663616853	0.6440052199
63	0.6646334576	0.6435196484
64	0.6659889303	0.6429208817
65	0.6656500621	0.6424746471
66	0.6670055348	0.6420980113
67	0.667344403	0.6415092073
68	0.6684739636	0.6409522414
69	0.6685869197	0.6403907
70	0.6702812606	0.6399310057
71	0.6701683045	0.6395233055
72	0.6711849091	0.638978902
73	0.6743476788	0.6385484087
74	0.6752513272	0.6380172883
75	0.6762679318	0.6373925772
76	0.6769456681	0.6368759989
77	0.678640009	0.6363027867
78	0.6803343499	0.6357843451
79	0.6802213939	0.6353455674
80	0.6810120863	0.6348533344
81	0.6818027787	0.6344218295
82	0.6824805151	0.6339232713
83	0.6838359878	0.6333150109
84	0.6856432848	0.6329460177
85	0.6876764938	0.6324649398
86	0.687902406	0.6319821723
87	0.687902406	0.6314486991
88	0.6891449226	0.6307256895
89	0.6903874393	0.6302984006
90	0.6909522196	0.6297363117
91	0.6909522196	0.6291151494
92	0.6930983847	0.6285366043
93	0.6944538574	0.6279558202
94	0.6962611544	0.6274484522
95	0.6964870665	0.6268735137
96	0.6968259347	0.626401096
97	0.6986332317	0.6259230664
98	0.6998757483	0.6252459241
99	0.7015700892	0.6248643986
100	0.7021348695	0.6244821762
101	0.7028126059	0.6240126291
102	0.7026996498	0.6235021031
103	0.7033773862	0.6228964671
104	0.7050717271	0.6223564277
105	0.7064271998	0.621840713
106	0.7075567604	0.6213233589
107	0.708573365	0.6208567359
108	0.7091381453	0.6203542329
109	0.7112843104	0.6199408775
110	0.7119620468	0.6195064876
111	0.7119620468	0.6189406105
112	0.7128656952	0.6182816188
113	0.7148989043	0.6178100833
114	0.7156895967	0.6174170151
115	0.7171580255	0.6169106558
116	0.718061674	0.6163147449
117	0.7184005422	0.6158312112
118	0.7200948831	0.615516647
119	0.7202078392	0.615033714
120	0.721789224	0.6145082559
121	0.7212244437	0.6139977453
122	0.7225799164	0.6135269157
123	0.7225799164	0.6130305515
124	0.725516774	0.6125335972
125	0.7261945103	0.6122140595
126	0.7265333785	0.6117620348
127	0.727437027	0.6111246108
128	0.7280018073	0.6106307312
129	0.7296961482	0.6100744887
130	0.7304868406	0.6096671897
131	0.7324070936	0.6090753309
132	0.7327459618	0.6088166833
133	0.7325200497	0.6083292812
134	0.7345532588	0.6077946152
135	0.7341014345	0.6074458089
136	0.7351180391	0.6069470983
137	0.7372642042	0.6062827848
138	0.7381678527	0.6060249295
139	0.7366994239	0.6055541717
140	0.7372642042	0.6050374888
141	0.7381678527	0.6045449977
142	0.7392974133	0.6041016633
143	0.740652886	0.6037616561
144	0.742573139	0.6032430269
145	0.7430249633	0.602914606
146	0.7427990512	0.6024063457
147	0.7430249633	0.6018923964
148	0.7446063481	0.6013841554
149	0.74426748	0.6008818186
150	0.7470913815	0.600386013
151	0.748107986	0.5997909705
152	0.7484468542	0.5994233138
153	0.7490116345	0.59900264
154	0.7498023269	0.5985162022
155	0.7498023269	0.5979943561
156	0.7507059754	0.5973805416
157	0.7508189314	0.5968726245
158	0.7524003163	0.5962141222
159	0.753755789	0.5957434253
160	0.7539817011	0.5953097322
161	0.7536428329	0.5950264352
162	0.7535298769	0.5946681803
163	0.7551112617	0.5940207509
164	0.7560149102	0.5933861295
165	0.7570315147	0.5927968457
166	0.7579351632	0.5923223946
167	0.7586128996	0.5917386638
168	0.7592906359	0.5911532042
169	0.7607590647	0.5906430224
170	0.7617756693	0.5902288446
171	0.7633570541	0.5895766964
172	0.7640347905	0.58910103
173	0.7645995708	0.5886097365
174	0.7665198238	0.5881415606
175	0.768778945	0.5875145456
176	0.7683271208	0.5871630653
177	0.7702473738	0.5865468269
178	0.7703603298	0.5861627515
179	0.770699198	0.5855405887
180	0.7718287586	0.5850074446
181	0.7727324071	0.5844634751
182	0.7727324071	0.5839333495
183	0.772619451	0.583501293
184	0.7743137919	0.5829091178
185	0.7748785722	0.582437427
186	0.7757822207	0.581923288
187	0.7771376934	0.581425767
188	0.7783802101	0.5807867657
189	0.7774765616	0.580135745
190	0.7778154298	0.5796161494
191	0.778154298	0.5789605926
192	0.7791709025	0.5782868232
193	0.7797356828	0.5778032904
194	0.781881848	0.5771595274
195	0.7830114086	0.5765168235
196	0.7844798373	0.5760950949
197	0.7840280131	0.5753996536
198	0.7844798373	0.5748412978
199	0.7858353101	0.574222297
200	0.7856093979	0.5737866173
201	0.7867389585	0.5730650065
202	0.7871907828	0.5725036168
203	0.7880944313	0.5720210669
204	0.789449904	0.5713283331
205	0.7915960691	0.5707049831
206	0.7935163222	0.570139481
207	0.7940811025	0.5694494341
208	0.7939681464	0.5686787619
209	0.7955495312	0.5679478397
210	0.7947588388	0.5673910898
211	0.7972438721	0.5667445171
212	0.798825257	0.5660786067
213	0.80074551	0.565358918
214	0.7999548176	0.5648616733
215	0.8014232464	0.5640508415
216	0.8028916751	0.563397554
217	0.8032305433	0.5627299695
218	0.8033434994	0.5622403434
219	0.8033434994	0.5615617115
220	0.8048119282	0.5609344301
221	0.8066192251	0.5603341656
222	0.80820061	0.5596551557
223	0.8092172145	0.5589170728
224	0.8103467751	0.5581360843
225	0.8115892918	0.5574674941
226	0.8137354569	0.5566901811
227	0.8162204902	0.5562053753
228	0.8154297978	0.555527408
229	0.8181407433	0.555095342
230	0.8188184796	0.5545039373
231	0.8200609963	0.5537902932
232	0.8205128205	0.5530705001
233	0.8218682932	0.5524720588
234	0.8224330735	0.5518408323
235	0.8239015023	0.5511013981
236	0.8255958432	0.5505132996
237	0.8258217553	0.5499849913
238	0.8255958432	0.5493262286
239	0.8255958432	0.5488060531
240	0.8274031402	0.5481547221
241	0.8275160962	0.5474347398
242	0.8284197447	0.5467633232
243	0.8301140856	0.5460602073
244	0.8323732068	0.5453603946
245	0.8329379871	0.5446305968
246	0.8330509432	0.5440249244
247	0.8336157235	0.5434004404
248	0.836552581	0.5426313502
249	0.8366655371	0.5421807079
250	0.8381339659	0.5415546961
251	0.8394894386	0.5408537371
252	0.8388117022	0.5401330602
253	0.8396023947	0.5394687509
254	0.8403930871	0.53883352
255	0.8418615159	0.5381598338
256	0.8419744719	0.5375966478
257	0.8426522083	0.5370197443
258	0.8424262962	0.536379382
259	0.844007681	0.5357005291
260	0.8449113295	0.5351697428
261	0.8457020219	0.5344700236
262	0.845927934	0.533951806
263	0.8472834068	0.5333267967
264	0.8480740992	0.5326951897
265	0.8497684401	0.5320791653
266	0.8489777477	0.531340718
267	0.8504461764	0.5306681128
268	0.851462781	0.5300186539
269	0.851462781	0.5295122721
270	0.8518016492	0.5290158177
271	0.8518016492	0.5283785725
272	0.8522534734	0.527864896
273	0.8522534734	0.5273587334
274	0.8534959901	0.5267373846
275	0.8536089461	0.5261691442
276	0.8539478143	0.5257768292
277	0.855303287	0.5251855844
278	0.8567717158	0.5245245504
279	0.8566587597	0.524142401
280	0.8574494522	0.5237529003
281	0.8581271885	0.5231164487
282	0.8576753643	0.5227571435
283	0.8583531006	0.522317247
284	0.8584660567	0.5218164747
285	0.8592567491	0.5212058438
286	0.8607251779	0.5207075261
287	0.8614029143	0.5200228715
288	0.862871343	0.5192644363
289	0.8640009036	0.5186551757
290	0.86467864	0.5180469967
291	0.8644527279	0.5173521028
292	0.8659211567	0.5167865315
293	0.8675025415	0.516106652
294	0.8682932339	0.5155330887
295	0.8691968824	0.5151254626
296	0.8686321021	0.5144693757
297	0.8685191461	0.5140812816
298	0.8693098385	0.5134498655
299	0.8706653112	0.5128223084
300	0.8728114763	0.5122300231
301	0.8734892127	0.5114854033
302	0.8747317294	0.5108392114
303	0.8742799051	0.5103918025
304	0.8760872021	0.5098100862
305	0.8768778945	0.5090844854
306	0.8766519824	0.5084793206
307	0.8769908506	0.5080297869
308	0.8771038066	0.5073771026
309	0.877781543	0.5068810962
310	0.8794758839	0.5063486371
311	0.8793629278	0.5056823034
312	0.8806054445	0.5054086457
313	0.8812831808	0.5048992612
314	0.8818479611	0.5043602657
315	0.8822997854	0.5037505815
316	0.8833163899	0.5031989459
317	0.8841070823	0.5025077053
318	0.8850107308	0.5019520045
319	0.8854625551	0.5015731976
320	0.8867050717	0.5009331332
321	0.8864791596	0.5003646627
322	0.8859143793	0.4997636668
323	0.8864791596	0.4992881959
324	0.887156896	0.4987991535
325	0.8873828081	0.4982438304
326	0.8879475884	0.4977212187
327	0.8885123687	0.4970253115
328	0.8895289732	0.4964684165
329	0.8896419293	0.4959955944
330	0.8896419293	0.4954821825
331	0.8914492263	0.4949583741
332	0.8913362702	0.494637728
333	0.8916751384	0.4939924799
334	0.8931435672	0.4934532704
335	0.8930306111	0.4930720729
336	0.8931435672	0.4925098059
337	0.894724952	0.4918952861
338	0.8948379081	0.4913601921
339	0.8943860838	0.4907145105
340	0.8958545126	0.490376021
341	0.8960804247	0.4899596755
342	0.8961933808	0.4893767466
343	0.8980006777	0.488814251
344	0.8987913702	0.4882576997
345	0.8992431944	0.4877362595
346	0.8990172823	0.4871966908
347	0.900372755	0.4867411415
348	0.9012764035	0.486147595
349	0.9002597989	0.4856457966
350	0.9005986671	0.4852042948
351	0.9025189201	0.4846518127
352	0.9020670959	0.4841346927
353	0.9031966565	0.4836359529
354	0.9033096126	0.4832640357
355	0.9031966565	0.4827300841
356	0.9028577883	0.482081518
357	0.9034225686	0.4815244301
358	0.9043262171	0.4810626266
359	0.9048909974	0.4804535243
360	0.9046650853	0.4801267271
361	0.9052298656	0.4796477142
362	0.9051169095	0.4790362058
363	0.9052298656	0.478605305
364	0.9064723822	0.4780742808
365	0.9061335141	0.4775899348
366	0.9055687338	0.4772109252
367	0.9059076019	0.4767839954
368	0.9063594262	0.4765283176
369	0.9069242065	0.4760020296
370	0.9069242065	0.4755176739
371	0.9077148989	0.4750486445
372	0.9081667231	0.474531345
373	0.9090703716	0.4739493335
374	0.9096351519	0.4734128708
375	0.9094092398	0.4728867445
376	0.9099740201	0.4725150989
377	0.9101999322	0.472001339
378	0.9103128883	0.4715027396
379	0.9103128883	0.4710888774
380	0.9106517565	0.4705651627
381	0.9117813171	0.4700237982
382	0.9127979216	0.4696711688
383	0.9126849655	0.4694204621
384	0.9129108777	0.4688774657
385	0.913475658	0.4682700495
386	0.913588614	0.4677661763
387	0.9148311307	0.4672088843
388	0.915395911	0.4667646626
389	0.9164125155	0.4662930061
390	0.9164125155	0.4658182622
391	0.9167513837	0.4654813304
392	0.9168643398	0.4650113638
393	0.9170902519	0.4645321727
394	0.9175420761	0.4639604363
395	0.9179939004	0.4635109589
396	0.9187845928	0.4629175335
397	0.9190105049	0.4625470418
398	0.9198011973	0.4621997918
399	0.9196882413	0.4616643285
400	0.9200271095	0.4611247971
401	0.9205918898	0.4605956568
402	0.9205918898	0.4601035078
403	0.9217214504	0.4595846399
404	0.9217214504	0.4591526714
405	0.9218344064	0.4586567138
406	0.9222862307	0.4581224713
407	0.9226250988	0.4576640032
408	0.922963967	0.4573395251
409	0.9240935276	0.4569277175
410	0.9237546594	0.4563536585
411	0.9244323958	0.4559464593
412	0.9244323958	0.4553573849
413	0.9251101322	0.4547479687
414	0.9252230882	0.4542987016
415	0.9254490003	0.4539238511
416	0.9255619564	0.4535797519
417	0.9260137806	0.4530349454
418	0.9264656049	0.4527076052
419	0.9265785609	0.4522168031
420	0.9257878685	0.4517421949
421	0.926691517	0.4512824211
422	0.9268044731	0.4508327884
423	0.9275951655	0.4502767976
424	0.9272562973	0.4498513693
425	0.9279340337	0.4494177558
426	0.9274822094	0.4487237051
427	0.9279340337	0.4483328736
428	0.9280469897	0.447706894
429	0.9289506382	0.4472121364
430	0.9290635943	0.4468083887
431	0.9294024624	0.4463800086
432	0.9296283746	0.4459875019
433	0.9298542867	0.4454563983
434	0.9301931549	0.4449117747
435	0.9310968033	0.444465685
436	0.9310968033	0.4440395228
437	0.9314356715	0.4436011383
438	0.9318874958	0.4432027035
439	0.9318874958	0.4428157518
440	0.9321134079	0.4422757118
441	0.9324522761	0.4417136871
442	0.9330170564	0.4411265802
443	0.9338077488	0.4406159963
444	0.9344854851	0.4401145647
445	0.9348243533	0.4396636576
446	0.9357280018	0.4391567252
447	0.9357280018	0.43877795
448	0.9355020897	0.4382791279
449	0.93606687	0.437947774
450	0.9370834745	0.4374663476
451	0.9366316503	0.4369750083
452	0.937987123	0.4364467014
453	0.9381000791	0.4361225561
454	0.937987123	0.4358921025
455	0.9381000791	0.4353316593
456	0.9387778154	0.4348760755
457	0.9395685079	0.4345213597
458	0.9392296397	0.4339086435
459	0.9392296397	0.4335387165
460	0.9394555518	0.4332218014
461	0.9396814639	0.4329254596
462	0.9396814639	0.4324318806
463	0.9401332882	0.4320250041
464	0.9402462442	0.4315076152
465	0.9410369366	0.4311649721
466	0.9419405851	0.4306028992
467	0.941714673	0.4300918565
468	0.9416017169	0.4296636391
469	0.9425053654	0.4292074627
470	0.9429571897	0.4288102198
471	0.9428442336	0.4282929921
472	0.943634926	0.4279100667
473	0.9441997063	0.4273920563
474	0.9447644866	0.4269279897
475	0.945442223	0.4264885779
476	0.945555179	0.4261131486
477	0.9457810912	0.4257687777
478	0.945555179	0.425381183
479	0.945555179	0.4250142015
480	0.9464588275	0.4244061852
481	0.9467976957	0.4239243006
482	0.947362476	0.4234615213
483	0.9477013442	0.4230336632
484	0.9486049927	0.4225025176
485	0.9489438608	0.4222296403
486	0.949169773	0.4217811067
487	0.9490568169	0.4213796413
488	0.949169773	0.4208558379
489	0.9500734214	0.4204112465
490	0.9500734214	0.4200926645
491	0.9493956851	0.4196085145
492	0.9500734214	0.4192892667
493	0.9501863775	0.4189227012
494	0.9501863775	0.4185759596
495	0.9505252457	0.4180763159
496	0.9507511578	0.4175528395
497	0.9509770699	0.4171469365
498	0.951202982	0.4167193127
499	0.9513159381	0.416367083
500	0.9515418502	0.4159571078
501	0.9518807184	0.4155628039
502	0.9515418502	0.4151558818
503	0.951090026	0.4147036234
504	0.9514288942	0.4142799276
505	0.9517677623	0.4137976222
506	0.9523325426	0.41340047
507	0.9523325426	0.412980085
508	0.9526714108	0.4124803664
