iter	Passed	Remaining
0	140	140593
1	179	89578
2	198	65826
3	215	53642
4	234	46621
5	252	41791
6	269	38293
7	287	35692
8	305	33660
9	323	32013
10	342	30752
11	360	29673
12	378	28721
13	396	27943
14	415	27269
15	432	26625
16	451	26080
17	468	25553
18	487	25151
19	504	24714
20	523	24407
21	542	24132
22	562	23880
23	581	23665
24	601	23452
25	620	23258
26	639	23052
27	658	22856
28	675	22604
29	692	22376
30	709	22167
31	726	21980
32	747	21909
33	767	21819
34	787	21721
35	809	21681
36	828	21564
37	848	21483
38	866	21363
39	885	21247
40	904	21153
41	923	21072
42	945	21043
43	965	20975
44	985	20920
45	1006	20876
46	1027	20829
47	1047	20779
48	1065	20679
49	1081	20553
50	1098	20439
51	1115	20327
52	1131	20224
53	1149	20140
54	1166	20044
55	1183	19948
56	1200	19857
57	1217	19770
58	1234	19682
59	1250	19596
60	1267	19512
61	1284	19430
62	1301	19354
63	1318	19282
64	1335	19217
65	1353	19158
66	1371	19093
67	1387	19022
68	1405	18967
69	1423	18908
70	1440	18844
71	1456	18776
72	1473	18715
73	1491	18660
74	1508	18599
75	1524	18538
76	1541	18481
77	1558	18423
78	1575	18368
79	1592	18312
80	1609	18264
81	1626	18212
82	1643	18163
83	1661	18114
84	1677	18057
85	1693	18002
86	1710	17953
87	1728	17912
88	1745	17866
89	1762	17824
90	1780	17786
91	1798	17746
92	1816	17718
93	1834	17679
94	1852	17643
95	1870	17612
96	1887	17575
97	1906	17543
98	1924	17511
99	1942	17478
100	1961	17460
101	1980	17435
102	1998	17402
103	2016	17370
104	2034	17339
105	2053	17318
106	2072	17298
107	2090	17269
108	2109	17240
109	2126	17209
110	2144	17178
111	2162	17147
112	2180	17118
113	2198	17089
114	2216	17056
115	2233	17021
116	2250	16985
117	2267	16948
118	2284	16914
119	2301	16879
120	2318	16843
121	2336	16813
122	2353	16777
123	2370	16743
124	2386	16708
125	2403	16675
126	2421	16642
127	2438	16609
128	2454	16575
129	2471	16543
130	2488	16508
131	2505	16474
132	2522	16443
133	2539	16413
134	2557	16385
135	2575	16361
136	2593	16336
137	2610	16304
138	2626	16271
139	2644	16241
140	2661	16211
141	2678	16183
142	2694	16149
143	2711	16117
144	2728	16087
145	2745	16057
146	2762	16031
147	2779	15998
148	2796	15969
149	2813	15942
150	2830	15912
151	2847	15883
152	2863	15852
153	2880	15823
154	2896	15793
155	2914	15765
156	2930	15736
157	2947	15708
158	2964	15682
159	2983	15663
160	3000	15634
161	3016	15606
162	3033	15577
163	3051	15553
164	3068	15529
165	3085	15502
166	3101	15470
167	3118	15444
168	3135	15417
169	3152	15390
170	3168	15362
171	3186	15338
172	3202	15311
173	3219	15284
174	3237	15261
175	3254	15238
176	3272	15215
177	3289	15191
178	3306	15163
179	3322	15137
180	3338	15108
181	3355	15082
182	3373	15061
183	3390	15038
184	3407	15011
185	3425	14992
186	3444	14973
187	3461	14951
188	3479	14928
189	3495	14902
190	3512	14876
191	3529	14852
192	3546	14830
193	3563	14803
194	3582	14789
195	3600	14771
196	3618	14749
197	3636	14728
198	3653	14705
199	3671	14684
200	3688	14661
